epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,284.164,2.9955,4.11837,2.05388,0.00336,0.17197,0.00353,0.00091,3.03518,4.99408,1.7928,0.000653333,0.000653333,0.000653333
2,560.509,2.65281,3.36103,1.73425,0.00458,0.23439,0.01611,0.00714,2.85806,4.85771,2.00743,0.00125466,0.00125466,0.00125466
3,836.914,2.53425,3.05482,1.67549,0.13791,0.1414,0.04413,0.01649,2.8916,6.10584,2.00044,0.00178999,0.00178999,0.00178999
4,1111.07,2.36551,2.75926,1.63121,0.29642,0.14777,0.11684,0.04747,2.79404,5.74867,1.94062,0.001703,0.001703,0.001703
5,1380.41,2.36295,2.65444,1.60525,0.28776,0.17452,0.13147,0.05462,2.8111,5.28437,1.88941,0.001604,0.001604,0.001604
6,1650.11,2.33832,2.56213,1.57574,0.36059,0.19363,0.13821,0.05344,2.71448,5.74614,2.04803,0.001505,0.001505,0.001505
7,1919.01,2.18438,2.31699,1.51166,0.41244,0.22892,0.20589,0.10774,2.61945,3.9257,1.78907,0.001406,0.001406,0.001406
8,2185.95,2.12824,2.25709,1.47495,0.38554,0.2,0.19519,0.09128,2.75283,3.284,1.71974,0.001307,0.001307,0.001307
9,284.179,2.16958,2.2767,1.9393,0.40727,0.21783,0.2171,0.11774,2.58127,3.16501,2.99268,0.001208,0.001208,0.001208
10,552.691,2.15541,2.18998,1.60085,0.46137,0.24331,0.23438,0.11986,2.48086,3.68879,1.91334,0.001109,0.001109,0.001109
11,819.159,2.15816,2.2983,1.72513,0.494,0.24331,0.23757,0.11704,2.57199,3.45387,1.94774,0.00101,0.00101,0.00101
12,267.495,3.27358,3.56521,21.5901,0.08394,0.0293,0.01603,0.00488,3.96709,5.95107,15.0736,0.000911,0.000911,0.000911
13,540.408,3.07199,3.18211,11.5292,0.22381,0.12893,0.0775,0.02279,3.39109,6.69879,4.60592,0.000812,0.000812,0.000812
14,820.989,2.76735,2.81707,7.04859,0.21545,0.18089,0.1051,0.04446,2.98167,6.80546,3.88313,0.000713,0.000713,0.000713
15,1086.67,2.49308,2.60224,4.58952,0.37651,0.19618,0.16421,0.07457,2.76196,4.17536,4.17409,0.000614,0.000614,0.000614
16,1349.87,2.32078,2.40797,4.55534,0.42535,0.1949,0.18879,0.08627,2.74231,4.31854,3.38924,0.000515,0.000515,0.000515
17,1610.05,2.28881,2.41367,5.06035,0.45222,0.20382,0.19951,0.09415,2.67157,3.55173,3.32778,0.000416,0.000416,0.000416
18,1867.86,2.19476,2.21446,3.48448,0.43716,0.23694,0.21352,0.10913,2.62823,3.12617,2.96952,0.000317,0.000317,0.000317
19,2126.15,2.19759,2.23074,4.18338,0.44735,0.24968,0.23602,0.12495,2.57052,3.1057,2.50396,0.000218,0.000218,0.000218
20,2399.6,2.12661,2.11949,2.36307,0.47771,0.26752,0.25601,0.13762,2.52549,3.00479,2.50814,0.000119,0.000119,0.000119
