epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,285.721,2.07629,2.04154,3.29966,0.41048,0.16306,0.14658,0.07422,2.80676,3.57337,7.41429,0.000653333,0.000653333,0.000653333
2,566.476,2.13279,2.06519,2.85104,0.28817,0.18981,0.13295,0.07114,2.77759,4.64658,9.35173,0.00128733,0.00128733,0.00128733
3,832.228,2.20608,2.11864,1.96112,0.33969,0.19108,0.15361,0.06689,2.79094,4.13931,2.84479,0.00188833,0.00188833,0.00188833
4,1096.19,2.09803,2.05274,4.08995,0.08807,0.21274,0.03275,0.01494,2.80054,18.3075,4.86714,0.0018515,0.0018515,0.0018515
5,1360.93,2.16542,2.12204,2.28623,0.30951,0.15414,0.12404,0.05551,2.98233,3.48785,17.7674,0.001802,0.001802,0.001802
6,1627.53,2.23336,2.21907,2.79948,0.09957,0.12611,0.03015,0.0137,2.69551,23.2438,2.82854,0.0017525,0.0017525,0.0017525
7,1893.74,2.0754,2.01675,2.65345,0.01909,0.23057,0.00774,0.00392,2.64417,110.087,2.76971,0.001703,0.001703,0.001703
8,2156.86,2.12301,2.03774,2.67616,0.10499,0.17834,0.03582,0.01644,2.65159,4.29766,2.55486,0.0016535,0.0016535,0.0016535
9,2421.37,2.15304,2.13828,2.51643,0.30023,0.20637,0.15403,0.0692,2.733,3.4913,4.52486,0.001604,0.001604,0.001604
10,2685.01,1.99538,1.93779,2.63685,0.42746,0.24586,0.22714,0.10436,2.62576,3.14567,2.39286,0.0015545,0.0015545,0.0015545
11,2947.45,2.05952,1.93427,2.70478,0.51242,0.29045,0.281,0.12719,2.58094,3.24308,1.89515,0.001505,0.001505,0.001505
12,3211.37,2.03459,1.98987,2.0228,0.48682,0.30828,0.2907,0.15424,2.48264,2.86115,2.07643,0.0014555,0.0014555,0.0014555
13,3475.32,2.00984,1.84596,2.09999,0.53417,0.31465,0.30229,0.15831,2.51401,3.17017,1.97069,0.001406,0.001406,0.001406
14,3739.39,1.94229,1.76243,1.60341,0.57219,0.3172,0.32088,0.16972,2.40548,4.20918,2.31561,0.0013565,0.0013565,0.0013565
15,4005.49,1.97724,1.85272,1.53559,0.54385,0.30828,0.30679,0.16152,2.55121,2.85105,4.52437,0.001307,0.001307,0.001307
16,4271.94,1.86204,1.70109,1.48509,0.53551,0.32102,0.28909,0.15404,2.45346,3.11387,2.89687,0.0012575,0.0012575,0.0012575
17,4539.67,1.8823,1.68191,1.65646,0.56921,0.3465,0.32574,0.17683,2.43643,2.95211,3.45749,0.001208,0.001208,0.001208
18,4805.38,1.85854,1.68302,1.67136,0.54876,0.35541,0.34387,0.19614,2.36209,2.52644,1.81194,0.0011585,0.0011585,0.0011585
19,5072.05,1.81443,1.65507,1.98804,0.56166,0.34395,0.34301,0.19089,2.43177,3.02541,3.00372,0.001109,0.001109,0.001109
20,289.906,1.95482,1.98573,2.23191,0.4843,0.30191,0.27388,0.13948,2.41565,3.19328,29.7874,0.0010595,0.0010595,0.0010595
21,571.247,1.86192,1.69637,2.30114,0.55431,0.3121,0.30026,0.1614,2.36664,2.72034,2.01567,0.00101,0.00101,0.00101
22,843.101,1.8515,1.60667,1.6372,0.52972,0.34013,0.31907,0.18153,2.21214,3.62666,1.96972,0.0009605,0.0009605,0.0009605
23,1113.62,1.71696,1.47742,1.61931,0.62002,0.33466,0.34458,0.1856,2.34492,2.94812,1.76948,0.000911,0.000911,0.000911
24,1388.88,1.75515,1.49538,1.6668,0.60126,0.34384,0.35032,0.18208,2.36924,3.75314,1.78852,0.0008615,0.0008615,0.0008615
25,1662.06,1.79702,1.55309,1.49064,0.65264,0.35669,0.36757,0.19911,2.3177,3.03944,1.93028,0.000812,0.000812,0.000812
26,1940.77,1.68726,1.41502,1.38827,0.68459,0.3707,0.37822,0.20508,2.13652,2.87251,1.70909,0.0007625,0.0007625,0.0007625
27,2215.66,1.69908,1.45256,1.57728,0.64936,0.3586,0.35993,0.20693,2.22222,2.54521,1.87208,0.000713,0.000713,0.000713
28,2491.44,1.74026,1.52759,1.7514,0.60267,0.36561,0.3481,0.19023,2.31472,3.16142,1.81455,0.0006635,0.0006635,0.0006635
29,2767.86,1.60789,1.36591,1.43986,0.62738,0.38393,0.36937,0.20535,2.32653,2.78323,1.83494,0.000614,0.000614,0.000614
30,3041.57,1.6688,1.41594,1.44648,0.68897,0.37325,0.37659,0.21416,2.2426,2.5866,1.88345,0.0005645,0.0005645,0.0005645
31,3312.91,1.78537,1.56564,1.58994,0.6732,0.39101,0.37797,0.21655,2.25256,2.4034,1.75041,0.000515,0.000515,0.000515
32,3583.9,1.74078,1.56232,1.64396,0.64982,0.38471,0.37863,0.22209,2.19666,2.29641,1.80019,0.0004655,0.0004655,0.0004655
33,3855.92,1.7484,1.54388,1.64402,0.689,0.37707,0.38638,0.22806,2.19805,2.61414,1.75382,0.000416,0.000416,0.000416
34,4128.02,1.66908,1.46536,1.36323,0.68297,0.4,0.40018,0.23739,2.18362,2.2565,1.72322,0.0003665,0.0003665,0.0003665
35,4399.51,1.69978,1.46682,1.42182,0.71952,0.39618,0.40297,0.23853,2.20753,2.33718,1.65363,0.000317,0.000317,0.000317
36,4672.55,1.62926,1.39496,1.36785,0.71383,0.38854,0.39788,0.23426,2.20709,2.54564,1.68058,0.0002675,0.0002675,0.0002675
37,4942.92,1.66364,1.4395,1.4042,0.6779,0.40382,0.39592,0.23406,2.24825,2.51943,1.69607,0.000218,0.000218,0.000218
38,5214.21,1.60358,1.39796,1.36442,0.68067,0.4,0.39411,0.23414,2.27405,2.44494,1.70532,0.0001685,0.0001685,0.0001685
39,5484.74,1.62545,1.4274,1.47281,0.66774,0.4,0.3951,0.23666,2.269,2.43197,1.69932,0.000119,0.000119,0.000119
40,5757.2,1.61478,1.41495,1.40103,0.67749,0.40127,0.40226,0.2406,2.2366,2.39086,1.69137,6.95e-05,6.95e-05,6.95e-05
