epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,240.849,2.66716,3.95639,1.87392,0.0044,0.22548,0.00457,0.00156,2.61546,4.83016,1.72319,0.000653333,0.000653333,0.000653333
2,478.852,2.37297,2.94234,1.57419,0.49986,0.09045,0.10017,0.04802,2.53527,3.86738,1.73717,0.00125466,0.00125466,0.00125466
3,720.528,2.29239,2.65302,1.53928,0.35019,0.21401,0.16914,0.06676,2.55678,4.08731,1.75054,0.00178999,0.00178999,0.00178999
4,258.466,2.36684,2.84125,3.74019,0.0703,0.15541,0.02274,0.00713,3.00513,11.1718,58.0015,0.001703,0.001703,0.001703
5,510.96,2.43499,2.78377,2.89335,0.00967,0.00764,0.00189,0.00057,3.8289,4.90429,4.89701,0.001604,0.001604,0.001604
6,750.491,2.24021,2.50246,3.2369,0.22683,0.14522,0.07204,0.03062,2.77444,4.08122,7.74407,0.001505,0.001505,0.001505
7,986.287,2.18026,2.41278,4.70399,0.14911,0.1465,0.04407,0.02075,2.66128,4.28229,7.1289,0.001406,0.001406,0.001406
8,1221.97,2.18142,2.39491,1.93116,0.29142,0.12611,0.08918,0.04658,2.85317,3.50526,16.2165,0.001307,0.001307,0.001307
9,1459.13,2.23494,2.39573,1.93919,0.02185,0.10191,0.00671,0.00323,2.96106,27.2844,5.05308,0.001208,0.001208,0.001208
10,1695.71,2.11522,2.2473,2.98529,0.38591,0.26242,0.23379,0.12415,2.41244,3.22724,2.31615,0.001109,0.001109,0.001109
11,1929.98,2.05306,2.47774,2.33838,0.44183,0.27516,0.24059,0.12577,2.37607,3.03642,3.3184,0.00101,0.00101,0.00101
12,2163.8,2.01149,2.32074,2.0472,0.5465,0.27261,0.26392,0.14309,2.45855,3.18079,4.23764,0.000911,0.000911,0.000911
13,2399.13,1.91617,2.14606,1.72252,0.49077,0.29045,0.2773,0.15352,2.29697,2.69467,2.72979,0.000812,0.000812,0.000812
14,2633.25,1.89198,2.04649,2.93253,0.51274,0.29299,0.27916,0.15306,2.24432,2.69771,1.73145,0.000713,0.000713,0.000713
15,2867.37,1.87408,1.99167,1.65187,0.46339,0.32453,0.29957,0.17464,2.16217,2.59086,1.86145,0.000614,0.000614,0.000614
