epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,319.018,1.72152,1.78514,2.86364,0.59902,0.35587,0.3597,0.20524,nan,nan,nan,0.000653333,0.000653333,0.000653333
2,634.678,1.798,1.81288,2.60088,0.54024,0.3414,0.32313,0.17953,nan,nan,nan,0.00125466,0.00125466,0.00125466
3,955.879,1.79058,1.82135,1.59393,0.60154,0.32885,0.3236,0.17695,nan,nan,nan,0.00178999,0.00178999,0.00178999
4,1279.62,1.74063,1.73545,1.49988,0.54566,0.31592,0.32088,0.17836,nan,nan,nan,0.001703,0.001703,0.001703
5,1604.41,1.78442,1.75665,2.52787,0.60478,0.35478,0.36219,0.19801,nan,nan,nan,0.001604,0.001604,0.001604
6,1929.74,1.86509,1.86485,2.48287,0.51484,0.3121,0.291,0.16321,nan,nan,nan,0.001505,0.001505,0.001505
7,2257.96,1.74501,1.75857,2.30046,0.57455,0.32102,0.32946,0.18168,nan,nan,nan,0.001406,0.001406,0.001406
8,2587.33,1.75522,1.76866,1.93191,0.58866,0.36279,0.36562,0.21014,nan,nan,nan,0.001307,0.001307,0.001307
9,2913.61,1.74286,1.77454,1.93797,0.61363,0.36051,0.37577,0.21091,nan,nan,nan,0.001208,0.001208,0.001208
10,3240.53,1.69053,1.61219,2.42121,0.66135,0.3758,0.39238,0.22611,nan,nan,nan,0.001109,0.001109,0.001109
11,3561.73,1.6925,1.70828,1.98661,0.63936,0.38845,0.39525,0.23229,nan,nan,nan,0.00101,0.00101,0.00101
12,3876.79,1.72805,1.71996,1.809,0.57007,0.37834,0.35709,0.20684,nan,nan,nan,0.000911,0.000911,0.000911
13,4192.24,1.77369,1.72832,2.75849,0.58253,0.40255,0.3911,0.2364,nan,nan,nan,0.000812,0.000812,0.000812
14,4505.82,1.67266,1.65954,1.5523,0.66035,0.39873,0.41145,0.24745,nan,nan,nan,0.000713,0.000713,0.000713
15,4819.51,1.62519,1.59304,1.66833,0.65904,0.4,0.4169,0.25467,nan,nan,nan,0.000614,0.000614,0.000614
16,5133.84,1.63553,1.6018,2.24219,0.61714,0.42803,0.41967,0.25546,nan,nan,nan,0.000515,0.000515,0.000515
17,5445.57,1.55472,1.50446,1.49995,0.68241,0.42702,0.43405,0.26934,nan,nan,nan,0.000416,0.000416,0.000416
18,5755.82,1.55971,1.52055,2.03773,0.73618,0.4,0.43523,0.27407,nan,nan,nan,0.000317,0.000317,0.000317
19,6065.95,1.51211,1.45929,1.54234,0.72986,0.41645,0.44079,0.28229,nan,nan,nan,0.000218,0.000218,0.000218
20,6375.98,1.52949,1.47737,1.76044,0.69773,0.41529,0.43806,0.28344,nan,nan,nan,0.000119,0.000119,0.000119
