                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5376,                 3.7925,                 2.5366,                0.00099,                0.01235,                0.00037,                 0.0001,                 4.2008,                 150.73,                 4.2203,             0.00065333,             0.00065333,             0.00065333
                      2,                 3.3962,                 3.4163,                 2.4352,                0.00033,                0.00494,                0.00014,                  5e-05,                    nan,                    nan,                    nan,              0.0013197,              0.0013197,              0.0013197
                      3,                   3.35,                 3.3424,                 2.4432,                0.00074,                 0.0037,                0.00036,                0.00014,                    nan,                    nan,                    nan,              0.0019847,              0.0019847,              0.0019847
                      4,                 3.2543,                 3.2061,                 2.3517,                0.00074,                 0.0037,                0.00036,                0.00014,                    nan,                    nan,                    nan,              0.0019956,              0.0019956,              0.0019956
                      5,                 3.1743,                 3.1669,                 2.3102,                0.02918,                0.05309,                0.00882,                 0.0028,                    nan,                    nan,                    nan,              0.0019922,              0.0019922,              0.0019922
                      6,                 3.1123,                 3.0354,                 2.2649,                 0.0477,                 0.0642,                0.01355,                0.00404,                 3.5553,                 27.236,                 2.7417,              0.0019878,              0.0019878,              0.0019878
                      7,                 3.0909,                 3.0921,                 2.2166,                0.04883,                0.04938,                0.00848,                 0.0024,                    nan,                    nan,                    nan,              0.0019825,              0.0019825,              0.0019825
                      8,                 3.0183,                 2.8722,                 2.1614,                0.08506,                0.08642,                0.02552,                0.00722,                 3.5776,                 6.4699,                 2.5585,              0.0019762,              0.0019762,              0.0019762
                      9,                 2.9538,                 2.8467,                 2.1364,                0.08241,                0.09136,                0.03036,                 0.0087,                 3.3582,                 4.1104,                  2.536,              0.0019689,              0.0019689,              0.0019689
                     10,                 2.9151,                 2.8013,                 2.1134,                0.11322,                0.10123,                0.03899,                0.01246,                 3.2958,                 3.9899,                 2.3799,              0.0019607,              0.0019607,              0.0019607
                     11,                 2.7892,                 2.6811,                 2.0772,                0.15274,                0.12019,                0.04892,                0.01331,                 3.3268,                 3.9239,                 2.2991,              0.0019515,              0.0019515,              0.0019515
                     12,                 2.8608,                 2.7885,                 2.0906,                0.12252,                0.11481,                0.04339,                0.01279,                 3.2538,                 4.3999,                 2.3566,              0.0019415,              0.0019415,              0.0019415
                     13,                 2.7879,                 2.6069,                 2.0514,                0.16536,                0.14691,                0.06954,                0.02325,                 3.2141,                 3.2803,                  2.357,              0.0019305,              0.0019305,              0.0019305
                     14,                 2.6839,                 2.5603,                 2.0187,                0.14984,                0.11852,                0.05286,                0.01737,                 3.1338,                 3.8165,                 2.2869,              0.0019186,              0.0019186,              0.0019186
                     15,                 2.7687,                 2.7008,                 2.0157,                0.14533,                0.13086,                0.05758,                0.01881,                 3.0808,                 3.2133,                 2.3194,              0.0019058,              0.0019058,              0.0019058
                     16,                 2.6907,                 2.5758,                 1.9793,                  0.149,                0.11728,                0.06287,                0.02193,                 3.1848,                 3.5713,                 2.2931,              0.0018921,              0.0018921,              0.0018921
                     17,                 2.6415,                 2.4622,                 1.9271,                0.22679,                0.15432,                0.08699,                0.02788,                 3.1078,                  2.995,                 2.2813,              0.0018775,              0.0018775,              0.0018775
                     18,                 2.5913,                 2.3748,                 1.8928,                0.19467,                 0.1642,                0.09035,                0.03239,                 3.0275,                 2.7946,                 2.1775,              0.0018621,              0.0018621,              0.0018621
