                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5385,                 3.8284,                 2.4453,                0.01642,                0.06914,                0.00675,                0.00202,                 3.7494,                    nan,                 3.3827,                0.00048,                0.00048,                0.00048
                      2,                 2.9318,                 3.0473,                 2.0953,                0.01642,                0.06914,                0.00675,                0.00202,                    nan,                    nan,                    nan,             0.00097976,             0.00097976,             0.00097976
                      3,                 2.8668,                 2.7406,                 2.0463,                0.00016,                0.00494,                  7e-05,                  2e-05,                    nan,                    nan,                    nan,              0.0014786,              0.0014786,              0.0014786
                      4,                 2.7467,                 2.5252,                  1.976,                0.00054,                0.02099,                0.00026,                  8e-05,                    nan,                    nan,                    nan,              0.0019757,              0.0019757,              0.0019757
                      5,                 2.7411,                 2.6005,                 1.9791,                  3e-05,                0.00123,                  2e-05,                      0,                    nan,                    nan,                    nan,              0.0019922,              0.0019922,              0.0019922
                      6,                   2.71,                 2.5536,                 1.9057,                  3e-05,                0.00123,                  2e-05,                      0,                 4.5677,                    inf,                 6.5069,              0.0019878,              0.0019878,              0.0019878
                      7,                  2.533,                 2.3563,                 1.8536,                 0.0112,                0.09136,                0.00466,                0.00148,                 3.5104,                 48.852,                 3.0802,              0.0019825,              0.0019825,              0.0019825
                      8,                 2.4375,                 2.1952,                 1.7335,                0.08032,                0.08519,                0.03004,                0.01157,                 3.5595,                  10.48,                 2.5477,              0.0019762,              0.0019762,              0.0019762
                      9,                 2.3804,                 2.1329,                 1.7367,                0.06409,                0.08395,                0.01458,                0.00439,                 3.4733,                 10.438,                 2.5852,              0.0019689,              0.0019689,              0.0019689
                     10,                 2.2528,                 1.9644,                  1.651,                0.18945,                0.12222,                0.07642,                0.02628,                 3.3796,                 9.9821,                 2.4756,              0.0019607,              0.0019607,              0.0019607
                     11,                 2.3212,                 1.9915,                 1.7015,                0.13198,                0.10123,                0.04976,                0.01644,                  3.437,                  10.45,                 2.7051,              0.0019515,              0.0019515,              0.0019515
                     12,                 2.2749,                 2.0094,                 1.6538,                0.20378,                0.11852,                0.08166,                0.03224,                 3.2146,                 4.6195,                 2.3462,              0.0019415,              0.0019415,              0.0019415
                     13,                 2.2107,                 1.9426,                 1.6356,                0.25632,                 0.1284,                0.09588,                0.03695,                 3.1399,                 7.1308,                 2.3573,              0.0019305,              0.0019305,              0.0019305
                     14,                 2.1401,                 1.8928,                 1.6142,                0.28328,                 0.1679,                0.11768,                0.04759,                 2.9435,                 5.8611,                 2.2317,              0.0019186,              0.0019186,              0.0019186
                     15,                 2.1059,                 1.8006,                 1.5706,                0.22678,                0.10741,                0.07628,                0.03074,                 3.2605,                 11.483,                 2.3427,              0.0019058,              0.0019058,              0.0019058
                     16,                 2.1195,                 1.7706,                 1.5386,                 0.2543,                0.18395,                0.12634,                0.04864,                 2.9496,                 4.2386,                 2.1265,              0.0018921,              0.0018921,              0.0018921
                     17,                 1.9728,                 1.6609,                 1.4715,                0.34224,                0.18642,                0.14818,                0.06485,                 2.6566,                 3.1786,                 2.0352,              0.0018775,              0.0018775,              0.0018775
                     18,                 1.9859,                 1.6658,                 1.4727,                 0.3071,                0.15813,                0.12644,                 0.0539,                 3.0801,                 5.2539,                 2.1833,              0.0018621,              0.0018621,              0.0018621
                     19,                  1.932,                 1.6034,                 1.4539,                0.39194,                0.20617,                 0.1682,                0.07295,                 2.8266,                 2.8289,                  2.117,              0.0018459,              0.0018459,              0.0018459
                     20,                 1.9369,                 1.6211,                  1.457,                 0.3438,                0.20494,                0.16697,                0.07853,                 2.6837,                 2.9752,                 2.0475,              0.0018288,              0.0018288,              0.0018288
                     21,                 1.9905,                 1.6867,                 1.5043,                0.45532,                0.23333,                0.21972,                0.09727,                  2.626,                 2.6115,                 1.9934,              0.0018109,              0.0018109,              0.0018109
                     22,                 1.8772,                 1.5497,                 1.4419,                0.40751,                0.18519,                0.16766,                 0.0729,                 2.9381,                 3.2233,                 2.1058,              0.0017923,              0.0017923,              0.0017923
                     23,                 1.8291,                 1.4818,                 1.3842,                0.50199,                0.20907,                0.21249,                 0.0929,                 2.7586,                 2.3954,                  2.097,              0.0017728,              0.0017728,              0.0017728
                     24,                 1.7575,                 1.4076,                 1.3378,                0.50868,                0.21111,                   0.21,                0.09593,                 2.6936,                 3.1498,                 2.0032,              0.0017526,              0.0017526,              0.0017526
                     25,                 1.7952,                 1.4197,                 1.3745,                0.52214,                0.22797,                 0.2169,                0.09016,                 2.7349,                 2.5749,                 1.9763,              0.0017317,              0.0017317,              0.0017317
