                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.582,                 4.4465,                  2.529,                0.00025,                0.01235,                0.00013,                  3e-05,                    nan,                    nan,                    nan,                0.00048,                0.00048,                0.00048
                      2,                 3.1376,                 3.4678,                 2.2186,                0.00025,                0.01235,                0.00013,                  3e-05,                    nan,                    nan,                    nan,             0.00097983,             0.00097983,             0.00097983
                      3,                 3.0591,                 3.1359,                 2.1031,                0.00025,                0.01235,                0.00013,                  3e-05,                    nan,                    nan,                    nan,               0.001479,               0.001479,               0.001479
                      4,                 2.9466,                 2.9235,                 2.0592,                0.00025,                0.01235,                0.00013,                  3e-05,                    nan,                    nan,                    nan,               0.001977,               0.001977,               0.001977
                      5,                 2.8662,                  2.798,                  2.013,                0.00067,                0.00123,                0.00034,                  3e-05,                    nan,                    nan,                    nan,              0.0019946,              0.0019946,              0.0019946
                      6,                 2.8168,                 2.7511,                 1.9449,                0.00032,                0.00494,                0.00011,                  4e-05,                    nan,                    nan,                    nan,              0.0019915,              0.0019915,              0.0019915
                      7,                 2.7332,                 2.5866,                 1.9397,                0.00032,                0.00494,                0.00011,                  4e-05,                    nan,                    nan,                    nan,              0.0019878,              0.0019878,              0.0019878
                      8,                  2.585,                  2.363,                 1.8219,                0.00946,                0.00864,                0.00143,                0.00045,                    nan,                    nan,                    nan,              0.0019834,              0.0019834,              0.0019834
                      9,                 2.5326,                 2.3808,                 1.7954,                0.04176,                0.04938,                0.01738,                0.00545,                 3.3117,                 29.117,                 2.4992,              0.0019784,              0.0019784,              0.0019784
                     10,                 2.4548,                 2.2308,                 1.7258,                0.11525,                0.06543,                 0.0303,                0.01256,                 3.6349,                 8.4635,                 2.5958,              0.0019726,              0.0019726,              0.0019726
                     11,                 2.4463,                 2.2281,                 1.7373,                0.10339,                0.06173,                0.02727,                0.00917,                    nan,                    nan,                    nan,              0.0019663,              0.0019663,              0.0019663
                     12,                 2.4237,                 2.2023,                  1.713,                0.18361,                0.09136,                0.05545,                0.01664,                 3.2825,                 6.9809,                 2.3583,              0.0019592,              0.0019592,              0.0019592
                     13,                 2.3618,                 2.1229,                 1.6953,                0.26471,                0.07407,                0.06142,                0.02043,                 3.1961,                 7.2742,                 2.2402,              0.0019515,              0.0019515,              0.0019515
                     14,                 2.2841,                 2.1004,                 1.6818,                0.12626,                0.07778,                0.03423,                0.01163,                 3.6752,                 7.9582,                 2.5267,              0.0019432,              0.0019432,              0.0019432
                     15,                  2.251,                 1.9878,                 1.6315,                0.28283,                0.13704,                0.09911,                0.03346,                 3.2321,                 3.9253,                 2.3553,              0.0019342,              0.0019342,              0.0019342
                     16,                 2.2413,                 1.9567,                  1.597,                0.24454,                0.10988,                 0.0713,                0.02522,                 3.2124,                 5.2857,                 2.3392,              0.0019246,              0.0019246,              0.0019246
                     17,                 2.1414,                 1.8585,                 1.5457,                0.30166,                0.11481,                0.09912,                 0.0408,                  3.061,                 5.0665,                 2.2889,              0.0019144,              0.0019144,              0.0019144
                     18,                  2.148,                 1.8667,                 1.5591,                0.34338,                0.14321,                0.12505,                0.05143,                 3.0747,                 4.4499,                 2.2414,              0.0019036,              0.0019036,              0.0019036
                     19,                 2.0256,                 1.7299,                 1.5003,                0.21564,                0.10494,                0.05945,                0.02116,                 3.2637,                 3.7013,                 2.4404,              0.0018921,              0.0018921,              0.0018921
                     20,                 2.1108,                 1.7995,                 1.5351,                0.31104,                 0.1963,                0.14858,                0.06701,                 2.8707,                 3.2544,                  2.081,                0.00188,                0.00188,                0.00188
                     21,                 2.1282,                 1.8536,                 1.5889,                0.33834,                0.17531,                0.13938,                0.05623,                 2.9559,                 3.2252,                 2.0991,              0.0018674,              0.0018674,              0.0018674
                     22,                 2.0044,                 1.7552,                 1.4983,                 0.2651,                0.09383,                0.06034,                0.01936,                 3.5157,                 3.8226,                 2.3645,              0.0018541,              0.0018541,              0.0018541
                     23,                 2.0153,                 1.6998,                  1.474,                0.30076,                 0.1679,                0.13074,                 0.0583,                 2.9883,                 3.0308,                 2.2464,              0.0018403,              0.0018403,              0.0018403
                     24,                 1.9286,                 1.6271,                 1.4147,                0.35692,                0.18395,                0.15307,                0.06918,                 2.8344,                 2.8818,                   2.07,              0.0018259,              0.0018259,              0.0018259
                     25,                 1.9496,                 1.5988,                 1.4452,                0.25619,                0.17901,                0.13336,                0.05393,                 2.9183,                 2.9264,                  2.257,              0.0018109,              0.0018109,              0.0018109
                     26,                 1.9355,                 1.5622,                 1.4211,                0.37385,                0.19018,                0.16821,                0.06686,                  2.807,                 2.9942,                 2.0806,              0.0017954,              0.0017954,              0.0017954
                     27,                 1.8668,                 1.5704,                  1.418,                0.36908,                0.20741,                 0.1751,                0.07926,                 2.7748,                 2.9095,                 2.0595,              0.0017794,              0.0017794,              0.0017794
                     28,                 1.9115,                   1.61,                 1.4403,                 0.4805,                0.18956,                0.17224,                0.07826,                 2.9986,                 3.0711,                  2.129,              0.0017628,              0.0017628,              0.0017628
                     29,                   1.82,                 1.4937,                 1.4008,                0.40413,                0.21937,                0.17545,                0.07528,                  2.746,                 3.1592,                 2.1128,              0.0017457,              0.0017457,              0.0017457
                     30,                 1.9023,                  1.551,                 1.4329,                0.26959,                0.17037,                0.13772,                0.06289,                 2.9815,                 3.6445,                  2.282,              0.0017281,              0.0017281,              0.0017281
                     31,                 1.8352,                 1.4943,                  1.386,                0.38103,                0.18519,                0.16396,                0.07204,                 3.0151,                 2.9285,                 2.1511,                0.00171,                0.00171,                0.00171
                     32,                  1.763,                 1.4174,                 1.3537,                0.39177,                0.15556,                0.13725,                0.05159,                 2.9487,                 3.1151,                 2.1729,              0.0016915,              0.0016915,              0.0016915
                     33,                  1.784,                  1.439,                 1.4035,                0.42654,                0.21728,                 0.2046,                0.08235,                 2.7519,                 2.3967,                  2.035,              0.0016724,              0.0016724,              0.0016724
                     34,                 1.7281,                 1.3762,                 1.3423,                0.48972,                0.22469,                0.20862,                0.09089,                 2.7026,                 2.4356,                 1.9448,               0.001653,               0.001653,               0.001653
                     35,                 1.7308,                 1.3816,                 1.3438,                0.46295,                0.21975,                0.19051,                0.08707,                 2.7049,                 2.6053,                  2.025,               0.001633,               0.001633,               0.001633
                     36,                 1.7132,                 1.3479,                 1.3302,                0.46648,                0.20864,                0.18223,                0.07129,                  2.914,                 2.5066,                  2.049,              0.0016127,              0.0016127,              0.0016127
                     37,                 1.7397,                 1.3603,                 1.3271,                0.49313,                0.24198,                0.21851,                0.10131,                 2.6735,                 2.2324,                  1.968,              0.0015919,              0.0015919,              0.0015919
                     38,                 1.6154,                 1.2724,                 1.2767,                0.53136,                0.22963,                0.21019,                0.09252,                 2.7681,                 2.2689,                 2.0049,              0.0015707,              0.0015707,              0.0015707
                     39,                 1.7294,                 1.3919,                 1.3428,                0.40492,                0.22963,                0.20909,                0.09593,                 2.7204,                  2.355,                 1.9245,              0.0015492,              0.0015492,              0.0015492
                     40,                 1.6039,                 1.2873,                 1.2918,                 0.4911,                0.24543,                0.22852,                0.10008,                 2.6372,                 2.3363,                 1.9585,              0.0015273,              0.0015273,              0.0015273
                     41,                 1.6905,                 1.3198,                 1.2895,                0.41913,                0.26049,                0.23208,                0.11358,                 2.5036,                 2.2122,                 1.8525,               0.001505,               0.001505,               0.001505
                     42,                 1.6201,                 1.3005,                 1.3098,                0.46899,                0.23333,                0.20049,                 0.0885,                  2.735,                 2.3775,                 1.9735,              0.0014824,              0.0014824,              0.0014824
                     43,                 1.6142,                 1.2137,                 1.2957,                0.50854,                0.23704,                0.23746,                0.11191,                 2.4131,                 2.0614,                 1.7862,              0.0014595,              0.0014595,              0.0014595
                     44,                 1.5924,                 1.2385,                 1.2668,                 0.5583,                0.26173,                0.25003,                 0.1115,                 2.4451,                 2.1172,                 1.7843,              0.0014362,              0.0014362,              0.0014362
                     45,                 1.6596,                 1.2953,                 1.2755,                0.30404,                0.21111,                0.16933,                0.06635,                 3.0118,                 2.8754,                 2.1879,              0.0014127,              0.0014127,              0.0014127
                     46,                 1.5636,                 1.1868,                 1.2378,                0.48192,                0.24198,                0.23325,                0.10144,                  2.684,                 2.1288,                 1.9594,              0.0013889,              0.0013889,              0.0013889
