                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.662,                 4.7807,                 2.6262,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.00048,                0.00048,                0.00048
                      2,                  3.328,                 3.4696,                 2.3634,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00097983,             0.00097983,             0.00097983
                      3,                 3.2214,                 3.2638,                 2.2498,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.001479,               0.001479,               0.001479
                      4,                 3.1682,                 3.1763,                 2.2351,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.001977,               0.001977,               0.001977
                      5,                 3.1044,                 3.0758,                   2.17,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0019946,              0.0019946,              0.0019946
                      6,                 2.9911,                 2.9367,                 2.0755,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0019915,              0.0019915,              0.0019915
                      7,                 2.8286,                 2.7659,                 2.0235,                0.00871,                0.02346,                0.00179,                0.00055,                 3.9475,                    inf,                 6.4792,              0.0019878,              0.0019878,              0.0019878
                      8,                 2.7422,                  2.599,                 1.9351,                 0.0654,                0.06914,                0.02115,                0.00914,                 3.6512,                 39.975,                 2.9188,              0.0019834,              0.0019834,              0.0019834
                      9,                 2.6955,                 2.5691,                 1.9185,                0.14212,                0.06173,                 0.0381,                0.01161,                 3.4818,                 6.4589,                 2.5412,              0.0019784,              0.0019784,              0.0019784
                     10,                 2.5493,                 2.4026,                 1.8305,                0.07736,                0.04938,                0.01913,                0.00764,                 3.6705,                 5.8511,                 2.6366,              0.0019726,              0.0019726,              0.0019726
                     11,                 2.5275,                 2.4304,                 1.8382,                0.13376,                0.11358,                0.05524,                0.01799,                 3.2997,                 14.644,                 2.7433,              0.0019663,              0.0019663,              0.0019663
                     12,                  2.566,                 2.4187,                 1.8404,                 0.1449,                 0.1037,                0.04752,                0.01572,                 3.4015,                 6.6445,                  2.742,              0.0019592,              0.0019592,              0.0019592
                     13,                 2.4993,                 2.3283,                 1.8082,                0.14066,                0.05802,                 0.0335,                 0.0139,                 3.3923,                 18.214,                 2.5651,              0.0019515,              0.0019515,              0.0019515
                     14,                 2.4592,                 2.2685,                 1.8195,                0.13951,                    0.1,                 0.0547,                0.02186,                 3.1331,                 3.7056,                 2.3202,              0.0019432,              0.0019432,              0.0019432
                     15,                 2.3776,                 2.1768,                 1.7323,                0.14523,                0.14198,                0.06536,                0.02556,                 3.0037,                  3.556,                 2.3643,              0.0019342,              0.0019342,              0.0019342
                     16,                 2.3876,                 2.1405,                 1.7103,                0.19044,                0.12222,                0.08429,                0.02838,                 3.1284,                 9.8724,                 2.3093,              0.0019246,              0.0019246,              0.0019246
                     17,                 2.2831,                 2.0405,                 1.6567,                0.16316,                0.14815,                0.07106,                0.02573,                  3.191,                 4.5029,                 2.2431,              0.0019144,              0.0019144,              0.0019144
                     18,                 2.2767,                 1.9721,                 1.6398,                0.20208,                0.11111,                0.05523,                0.01898,                 3.0488,                 5.5982,                  2.257,              0.0019036,              0.0019036,              0.0019036
                     19,                 2.1715,                 1.9042,                 1.5815,                0.36388,                0.14074,                0.12647,                0.05315,                 2.8931,                 3.2726,                 2.1428,              0.0018921,              0.0018921,              0.0018921
                     20,                 2.1818,                 1.9146,                 1.6018,                0.30036,                0.12593,                0.11539,                0.04299,                 3.1708,                 3.6893,                 2.2459,                0.00188,                0.00188,                0.00188
                     21,                 2.2623,                 2.0367,                 1.6924,                0.35855,                0.14198,                0.11882,                0.04758,                  3.015,                 3.1237,                 2.1618,              0.0018674,              0.0018674,              0.0018674
                     22,                 2.1414,                 1.8748,                 1.6066,                0.34683,                0.19506,                0.15882,                0.06155,                 2.8424,                 2.8567,                 2.1307,              0.0018541,              0.0018541,              0.0018541
                     23,                 2.1411,                 1.8092,                 1.5695,                0.44534,                0.16851,                0.15909,                0.07084,                 2.7865,                 2.7751,                 2.0827,              0.0018403,              0.0018403,              0.0018403
                     24,                 2.0537,                 1.7069,                 1.4908,                0.34587,                0.16667,                0.12331,                0.05115,                 2.9443,                 3.0105,                 2.0488,              0.0018259,              0.0018259,              0.0018259
                     25,                 2.0937,                 1.7828,                 1.5352,                0.51312,                0.19127,                 0.1889,                 0.0795,                 2.7834,                 2.5392,                 1.9687,              0.0018109,              0.0018109,              0.0018109
